etf_id,etf_name,region,currency
ALLW,SPDR Bridgewater全天候主動型ETF,US,USD
BIL,SPDR彭博1-3月美國國庫券ETF,US,USD
BILS,SPDR彭博3-12月美國國庫券ETF,US,USD
BWX,SPDR彭博國際政府債券ETF,US,USD
BWZ,SPDR彭博短期國際政府債券ETF,US,USD
CERY,SPDR彭博增強型滾動收益商品策略No K-1 ETF,US,USD
CNRG,SPDR標普Kensho乾淨能源ETF,US,USD
CWB,SPDR彭博可轉換證券ETF,US,USD
CWI,SPDR MSCI美國以外全世界ETF,US,USD
DECO,SPDR Galaxy數位資產生態系統主動型ETF,US,USD
DGT,SPDR道瓊全球龍頭ETF,US,USD
DIA,SPDR道瓊工業平均指數ETF,US,USD
DWX,SPDR標普國際高股利ETF,US,USD
EBND,SPDR彭博新興市場當地債券ETF,US,USD
EDIV,SPDR標普新興市場高股利ETF,US,USD
EEMX,SPDR MSCI新興市場無化石燃料ETF,US,USD
EFAX,SPDR MSCI歐澳遠東無化石燃料ETF,US,USD
EFIV,SPDR標普500 ESG ETF,US,USD
EMHC,SPDR彭博新興市場美元債券ETF,US,USD
EMTL,SPDR DoubleLine新興市場固定收益ETF,US,USD
ESIX,SPDR標普600小型股ESG ETF,US,USD
EWX,SPDR標普新興市場小型股ETF,US,USD
FEZ,SPDR歐洲STOXX 50指數ETF,US,USD
FISR,SPDR道富固定收益行業輪換主動型ETF,US,USD
FITE,SPDR標普Kensho未來安全ETF,US,USD
FLRN,SPDR彭博投資級浮動利率ETF,US,USD
GAL,SPDR道富全球資產配置主動型ETF,US,USD
GII,SPDR標普全球基礎設施ETF,US,USD
GLD,SPDR黃金ETF,US,USD
GLDM,SPDR黃金MiniShares ETF,US,USD
GMF,SPDR標普新興亞洲太平洋ETF,US,USD
GNR,SPDR標普全球天然資源指數ETF,US,USD
GWX,SPDR標普國際小型股ETF,US,USD
GXC,SPDR標普中國指數ETF,US,USD
HAIL,SPDR標普Kensho智能移動ETF,US,USD
HECO,SPDR Galaxy避險數位資產生態系統主動型ETF,US,USD
HYBL,SPDR Blackstone非投資等級主動型ETF,US,USD
HYMB,SPDR Nuveen ICE非投資等級市政債券ETF,US,USD
IBND,SPDR彭博國際公司債券ETF,US,USD
INKM,SPDR道富非投資等級主動型ETF,US,USD
JNK,SPDR彭博非投資等級債ETF,US,USD
KBE,SPDR標普銀行業ETF,US,USD
KCE,SPDR標普資本市場ETF,US,USD
KIE,SPDR標普保險業ETF,US,USD
KOMP,SPDR標普Kensho新經濟綜合ETF,US,USD
KRE,SPDR標普地區性銀行ETF,US,USD
LGLV,SPDR道富美國大型股低波動指數ETF,US,USD
LQIG,SPDR MarketAxess投資等級400公司債券ETF,US,USD
MBND,SPDR Nuveen市政債券ETF,US,USD
MBNE,SPDR Nuveen市政債券ESG主動型ETF,US,USD
MDY,SPDR標普400中型股ETF,US,USD
MDYG,SPDR標普400中型成長股ETF,US,USD
MDYV,SPDR標普400中型價值股ETF,US,USD
MMTM,SPDR S&P 1500動能傾斜ETF,US,USD
MYCF,SPDR SSGA My2026公司債券主動型ETF,US,USD
MYCG,SPDR SSGA My2027公司債券主動型ETF,US,USD
MYCH,SPDR SSGA My2028公司債券主動型ETF,US,USD
MYCI,SPDR SSGA My2029公司債券主動型ETF,US,USD
MYCJ,SPDR SSGA My2030公司債券主動型ETF,US,USD
MYCK,SPDR SSGA My2031公司債券主動型ETF,US,USD
MYCL,SPDR SSGA My2032公司債券主動型ETF,US,USD
MYCM,SPDR SSGA My2033公司債券主動型ETF,US,USD
MYCN,SPDR SSGA My2034公司債券主動型ETF,US,USD
MYMF,SPDR SSGA My2026市政債券ETF,US,USD
MYMG,SPDR SSGA My2027市政債券ETF,US,USD
MYMH,SPDR SSGA My2028市政債券ETF,US,USD
MYMI,SPDR SSGA My2029市政債券ETF,US,USD
MYMJ,SPDR SSGA My2030市政債券ETF,US,USD
NANR,SPDR S&P北美天然資源ETF,US,USD
NZAC,SPDR MSCI全世界巴黎氣候聯盟ETF,US,USD
NZUS,SPDR MSCI美國氣候巴黎聯盟ETF,US,USD
OBND,SPDR Loomis Sayles機會主義債券主動型ETF,US,USD
ONEO,SPDR羅素1000動能焦點ETF,US,USD
ONEV,SPDR羅素1000低波動焦點ETF,US,USD
ONEY,SPDR羅素1000收益焦點ETF,US,USD
PRIV,SPDR SSGA IG公共和私人信貸主動型ETF,US,USD
PSK,SPDR ICE優先股ETF,US,USD
QEFA,SPDR MSCI歐澳遠東戰略因素ETF,US,USD
QEMM,SPDR MSCI新興市場戰略因素ETF,US,USD
QUS,SPDR MSCI美國戰略因素ETF,US,USD
QWLD,SPDR MSCI全球戰略因素ETF,US,USD
RLY,SPDR道富多重資產實際報酬主動型ETF,US,USD
ROKT,SPDR標普Kensho最終邊境ETF,US,USD
RWO,SPDR道瓊全球房地產ETF,US,USD
RWR,SPDR道瓊不動產投資信託ETF,US,USD
RWX,SPDR道瓊美國以外國際房地產ETF,US,USD
SDY,SPDR標普高股利ETF,US,USD
SFY@AX,SPDR  標普/澳洲交易所50 ETF,US,USD
SHE,SPDR MSCI美國性別多元化ETF,US,USD
SHM,SPDR Nuveen ICE短期市政債券ETF,US,USD
SIMS,SPDR標普Kensho智能結構ETF,US,USD
SJNK,SPDR彭博短期非投資等級債券ETF,US,USD
SLYG,SPDR標普600小型成長股ETF,US,USD
SLYV,SPDR標普600小型價值股ETF,US,USD
SMLV,SPDR道富美國小型股低波動指數ETF,US,USD
SPAB,SPDR投資組合美國綜合債券ETF,US,USD
SPBO,SPDR投資組合公司債券ETF,US,USD
SPDG,SPDR投資組合標普行業中性股息ETF,US,USD
SPDW,SPDR投資組合已開發國家不含美國ETF,US,USD
SPEM,SPDR投資組合新興市場ETF,US,USD
SPEU,SPDR投資組合歐洲ETF,US,USD
SPGM,SPDR投資組合MSCI全球整體股市ETF,US,USD
SPHY,SPDR投資組合非投資等級債券ETF,US,USD
SPIB,SPDR投資組合美國中期公司債券ETF,US,USD
SPIN,SPDR SSGA美國股票溢價盈餘主動型ETF,US,USD
SPIP,SPDR投資組合抗通膨債券ETF,US,USD
SPLB,SPDR投資組合美國長期公司債券ETF,US,USD
SPLG,SPDR投資組合標普500 ETF,US,USD
SPMB,SPDR投資組合抵押貸款債券ETF,US,USD
SPMD,SPDR投資組合標普400中型股ETF,US,USD
SPSB,SPDR投資組合美國短期公司債券ETF,US,USD
SPSM,SPDR投資組合標普600小型股ETF,US,USD
SPTB,SPDR投資組合公債ETF,US,USD
SPTI,SPDR投資組合中期公債ETF,US,USD
SPTL,SPDR投資組合長期美國公債ETF,US,USD
SPTM,SPDR投資組合標普綜合1500整體股市ETF,US,USD
SPTS,SPDR投資組合美國短期公債ETF,US,USD
SPY,SPDR標普500指數ETF,US,USD
SPYD,SPDR投資組合標普500高股利ETF,US,USD
SPYG,SPDR投資組合標普500成長股ETF,US,USD
SPYV,SPDR投資組合標普500價值股ETF,US,USD
SPYX,SPDR標普500無化石燃料儲量ETF,US,USD
SRLN,SPDR Blackstone高級信貸主動型ETF,US,USD
STOT,SPDR DoubleLine短期存續期間總報酬戰術主動型ETF,US,USD
STW@AX,SPDR  標普/澳洲交易所200 ETF,US,USD
TEKX,SPDR Galaxy變革科技加速器主動型ETF,US,USD
TFI,SPDR Nuveen ICE市政債券ETF,US,USD
TIPX,SPDR彭博1-10年抗通膨債券ETF,US,USD
TOTL,SPDR DoubleLine總報酬戰術主動型ETF,US,USD
ULST,SPDR道富超短期債券ETF,US,USD
VLU,SPDR S&P 1500價值傾斜ETF,US,USD
WDIV,SPDR S&P全球高股息ETF,US,USD
WIP,SPDR富時國際抗通膨政府債券ETF,US,USD
XAR,SPDR標普航太與國防ETF,US,USD
XBI,SPDR標普生技ETF,US,USD
XCNY,SPDR標普新興市場（中國除外）ETF,US,USD
XES,SPDR標普油氣設備與服務ETF,US,USD
XHB,SPDR標普房屋建商ETF,US,USD
XHE,SPDR標普健康照護器材ETF,US,USD
XHS,SPDR健康照護服務業ETF,US,USD
XITK,SPDR FactSet創新科技ETF,US,USD
XLB,SPDR原物料類股ETF,US,USD
XLBI,原物料精選行業SPDR溢價收益主動型ETF,US,USD
XLC,SPDR通訊服務類股ETF,US,USD
XLCI,通訊服務精選行業SPDR溢價收益主動型ETF,US,USD
XLE,SPDR能源類股ETF,US,USD
XLEI,能源精選行業SPDR溢價收益主動型ETF,US,USD
XLF,SPDR金融類股ETF,US,USD
XLFI,金融精選行業SPDR溢價收益主動型ETF,US,USD
XLI,SPDR工業類股ETF,US,USD
XLII,工業精選行業SPDR溢價收益主動型ETF,US,USD
XLK,SPDR科技類股ETF,US,USD
XLKI,科技精選行業SPDR溢價收益主動型ETF,US,USD
XLP,SPDR必需性消費類股ETF,US,USD
XLRE,SPDR房地產類股ETF,US,USD
XLRI,房地產精選行業SPDR溢價收益主動型ETF,US,USD
XLSI,消費必需品精選行業SPDR溢價收益主動型ETF,US,USD
XLSR,SPDR SSGA美國行業輪換主動型ETF,US,USD
XLU,SPDR公用事業類股ETF,US,USD
XLUI,公用事業精選行業SPDR溢價收益主動型ETF,US,USD
XLV,SPDR健康照護類股ETF,US,USD
XLVI,醫療保健精選行業SPDR溢價收益主動型ETF,US,USD
XLY,SPDR非必需消費類股ETF,US,USD
XLYI,非必需消費品精選行業SPDR溢價收益主動型ETF,US,USD
XME,SPDR標普金屬與礦產業ETF,US,USD
XNTK,SPDR紐約證交所科技類股ETF,US,USD
XOP,SPDR標普油氣開採與生產ETF,US,USD
XPH,SPDR標普製藥ETF,US,USD
XRT,SPDR標普零售業ETF,US,USD
XSD,SPDR標普半導體ETF,US,USD
XSW,SPDR軟體服務業ETF,US,USD
XTL,SPDR標普電信業ETF,US,USD
XTN,SPDR標普運輸業ETF,US,USD
